,id,title,release_date,tagline,overview,keywords,genres,runtime,budget,revenue,return,return_type,popularity,vote_average,vote_count,production_countries,original_language,spoken_languages,production_companies,Action,Adventure,Fantasy,Science Fiction,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Horror,Mystery,History,War,Music,Documentary,Foreign,TV Movie
0,0,Avatar,2009-12-10,Enter the World of Pandora.,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.","['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'cgi', 'marine', 'soldier', 'battle', 'love affair', 'anti war', 'power relations', 'mind and soul', '3d']","['Action', 'Adventure', 'Fantasy', 'Science Fiction']",162.0,237.0,2787.965,11.763565400843882,massive success,150.437577,7.2,11800,"['United States of America', 'United Kingdom']",en,"['English', 'Español']","['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Lightstorm Entertainment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,Pirates of the Caribbean: At World's End,2007-05-19,"At the end of the world, the adventure begins.","Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","['ocean', 'drug abuse', 'exotic island', 'east india trading company', ""love of one's life"", 'traitor', 'shipwreck', 'strong woman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger']","['Adventure', 'Fantasy', 'Action']",169.0,300.0,961.0,3.203333333333333,massive success,139.082615,6.9,4500,['United States of America'],en,['English'],"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,Spectre,2015-10-26,A Plan No One Escapes,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","['spy', 'based on novel', 'secret agent', 'sequel', 'mi6', 'british secret service', 'united kingdom']","['Action', 'Adventure', 'Crime']",148.0,245.0,880.675,3.594591836734694,massive success,107.37678799999999,6.3,4466,"['United Kingdom', 'United States of America']",en,"['Français', 'English', 'Español', 'Italiano', 'Deutsch']","['Columbia Pictures', 'Danjaq', 'B24']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,The Dark Knight Rises,2012-07-16,The Legend Ends,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.","['dc comics', 'crime fighter', 'terrorist', 'secret identity', 'burglar', 'hostage drama', 'time bomb', 'gotham city', 'vigilante', 'cover-up', 'superhero', 'villainess', 'tragic hero', 'terrorism', 'destruction', 'catwoman', 'cat burglar', 'imax', 'flood', 'criminal underworld', 'batman']","['Action', 'Crime', 'Drama', 'Thriller']",165.0,250.0,1084.939,4.339756,massive success,112.31295,7.6,9106,['United States of America'],en,['English'],"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']",1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,John Carter,2012-03-07,"Lost in our world, found in another.","John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","['based on novel', 'mars', 'medallion', 'space travel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgar rice burroughs', 'alien race', 'superhuman strength', 'mars civilization', 'sword and planet', '19th century', '3d']","['Action', 'Adventure', 'Science Fiction']",132.0,260.0,284.139,1.0928423076923077,failure,43.926995,6.1,2124,['United States of America'],en,['English'],['Walt Disney Pictures'],1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,Spider-Man 3,2007-05-01,The battle within.,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","['dual identity', 'amnesia', 'sandstorm', ""love of one's life"", 'forgiveness', 'spider', 'wretch', 'death of a friend', 'egomania', 'sand', 'narcism', 'hostility', 'marvel comic', 'sequel', 'superhero', 'revenge']","['Fantasy', 'Action', 'Adventure']",139.0,258.0,890.872,3.4529922480620154,massive success,115.69981399999999,5.9,3576,['United States of America'],en,"['English', 'Français']","['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,Tangled,2010-11-24,They're taking adventure to new lengths.,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.","['hostage', 'magic', 'horse', 'fairy tale', 'musical', 'princess', 'animation', 'tower', 'blonde woman', 'selfishness', 'healing power', 'based on fairy tale', 'duringcreditsstinger', 'healing gift', 'animal sidekick']","['Animation', 'Family']",100.0,260.0,591.795,2.276134615384615,success,48.681969,7.4,3330,['United States of America'],en,['English'],"['Walt Disney Pictures', 'Walt Disney Animation Studios']",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7,7,Avengers: Age of Ultron,2015-04-22,A New Age Has Come.,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.","['marvel comic', 'sequel', 'superhero', 'based on comic book', 'vision', 'superhero team', 'duringcreditsstinger', 'marvel cinematic universe', '3d']","['Action', 'Adventure', 'Science Fiction']",141.0,280.0,1405.404,5.0193,massive success,134.27922900000002,7.3,6767,['United States of America'],en,['English'],"['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,Harry Potter and the Half-Blood Prince,2009-07-07,Dark Secrets Revealed,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.","['witch', 'magic', 'broom', 'school of witchcraft', 'wizardry', 'apparition', 'teenage crush', 'werewolf']","['Adventure', 'Fantasy', 'Family']",153.0,250.0,933.959,3.735836,massive success,98.885637,7.4,5293,"['United Kingdom', 'United States of America']",en,['English'],"['Warner Bros.', 'Heyday Films']",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,9,Batman v Superman: Dawn of Justice,2016-03-23,Justice or revenge,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.","['dc comics', 'vigilante', 'superhero', 'based on comic book', 'revenge', 'super powers', 'clark kent', 'bruce wayne', 'dc extended universe']","['Action', 'Adventure', 'Fantasy']",151.0,250.0,873.26,3.49304,massive success,155.790452,5.7,7004,['United States of America'],en,['English'],"['DC Comics', 'Atlas Entertainment', 'Warner Bros.', 'DC Entertainment', 'Cruel & Unusual Films', 'RatPac-Dune Entertainment']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,Superman Returns,2006-06-28,,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.","['saving the world', 'dc comics', 'invulnerability', 'sequel', 'superhero', 'based on comic book', 'kryptonite', 'super powers', 'superhuman strength', 'lex luthor']","['Adventure', 'Fantasy', 'Action', 'Science Fiction']",154.0,270.0,391.081,1.4484481481481482,success,57.925623,5.4,1400,['United States of America'],en,"['English', 'Français', 'Deutsch']","['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'Bad Hat Harry Productions']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,Quantum of Solace,2008-10-30,"For love, for hate, for justice, for revenge.","Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.","['killing', 'undercover', 'secret agent', 'british secret service']","['Adventure', 'Action', 'Thriller', 'Crime']",106.0,200.0,586.091,2.9304550000000003,success,107.92881100000001,6.1,2965,"['United Kingdom', 'United States of America']",en,"['English', 'Español', 'Italiano', 'Français', 'Deutsch']",['Eon Productions'],1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,Pirates of the Caribbean: Dead Man's Chest,2006-06-20,Jack is back!,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.","['witch', 'fortune teller', 'bondage', 'exotic island', 'monster', 'captain', 'card game', 'east india trading company', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler', 'aftercreditsstinger']","['Adventure', 'Fantasy', 'Action']",151.0,200.0,1065.66,5.3283000000000005,massive success,145.84737900000002,7.0,5246,"['Jamaica', 'United States of America', 'Bahamas', 'Dominica']",en,"['English', 'Türkçe', 'ελληνικά', '普通话']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,The Lone Ranger,2013-07-03,Never Take Off the Mask,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.","['texas', 'horse', 'survivor', 'texas ranger', 'partner', 'outlaw', 'escape', 'lawyer', 'train', 'lone ranger', 'comanche', 'the lone ranger', 'tonto']","['Action', 'Adventure', 'Western']",149.0,255.0,89.29,0.35015686274509805,failure,49.046956,5.9,2311,['United States of America'],en,['English'],"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil', 'Silver Bullet Productions (II)', 'Blind Wink Productions', 'Classic Media']",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,14,Man of Steel,2013-06-12,You will believe that a man can fly.,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.","['saving the world', 'dc comics', 'superhero', 'based on comic book', 'superhuman', 'alien invasion', 'reboot', 'super powers', 'dc extended universe']","['Action', 'Adventure', 'Fantasy', 'Science Fiction']",143.0,225.0,662.846,2.9459822222222223,success,99.398009,6.5,6359,"['United Kingdom', 'United States of America']",en,['English'],"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy', 'Cruel and Unusual Films']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
